419 1118 2101 17 16
108 134 198 9 8
394 600 1483 10 8
421 771 1651 14 12
459 1614 2400 27 24
6812 7064 8576 615 607
658 774 1216 36 34
402 1732 4763 8 7
794 2281 3474 44 42
10174 9895 11320 893 882
5320 5912 6944 403 392
483 3535 7291 14 13
321 462 2212 4 3
1524 3129 4762 100 96
1504 2342 3133 100 96
640 2236 6668 27 25
225 535 4189 5 3
528 2101 12142 20 18
432 1457 13505 11 9
487 1202 4850 21 19
1691 2518 3271 114 111
308 2622 9099 5 4
1095 1420 2064 65 62
6477 9101 10685 5271 5208
472 1096 1888 28 26
2100 2999 3756 178 173
3977 4718 5535 349 340
467 825 2010 26 20
727 1726 2647 45 43
2362 3609 4751 1781 1475
411 2477 4536 115 104
1232 1258 1817 100 96
436 2868 5258 19 18
3711 3156 3894 2254 287
6834 7078 8203 612 604
6803 7392 8563 575 568
473 1205 2134 20 18
8138 8375 9595 731 723
3481 13475 19821 608 380
613 1182 1890 31 29
5068 5438 6453 426 416
47487 60290 72799 4415 4365
5651 6184 7252 489 483
1697 2095 2756 120 117
50587 63725 77100 4733 4679
37099 41750 49379 3272 3194
3947 4350 5241 320 312
1116 1584 2188 72 69
2757 3149 3884 212 206
1077 32189 40598 661 633
18730 17232 22839 1556 1517
6050 5819 7849 466 447
11796 11132 14489 989 964
11285 10567 13877 934 910
709 4194 6450 39 37
1997 17028 20397 1450 1413
2865 2942 4202 200 192
17435 17512 18445 1569 1545
13166 10766 15109 9819 1491
3113 3160 3919 274 267
534 2330 4673 21 19
527 1401 2745 33 29
3863 4553 15452 366 356
1231 1230 1767 74 71
691 1161 1815 299 280
572 1158 2270 148 134
4954 7401 8671 433 423
6057 6694 7874 579 572
2038 2833 3744 1254 1213
425 959 2397 8 7
679 1809 2682 27 25
360 1710 4374 8 7
342 231 1009 2 1
253 290 799 29 24
1924 4004 5508 139 135
4690 4664 5408 3428 3342
2215 2387 3072 163 158
7423 7032 8102 593 583
9040 2008 2008 2008 2008
8472 990 990 990 990
8437 1294 1294 1294 1294
11994 5810 5810 5810 5810
3726 5762 6916 313 304
1079 1198 1702 70 67
1857 2218 2875 139 135
1951 2376 7804 1285 1251
11468 21825 29030 986 959
5947 11074 16001 486 465
12120 23285 29876 1083 1055
11279 11368 12917 1060 1048
3680 4101 4950 308 300
8672 8871 10196 793 784
2374 2821 3534 190 185
195422 246598 246586 246598 175417
393 4345 27193 76 65
535 2278 4184 35 32
6529 6674 7851 600 593
662 1661 2585 35 33
2248 3459 4568 173 168
4734 4336 5481 3416 435
13454 12899 16075 1211 1197
6304 6352 7458 598 591
10365 3500 3500 3500 3500
9687 2868 2868 2868 2868
9163 1986 1986 1986 1986
11085 4706 4706 4706 4706
9174 2164 2164 2164 2164
8479 1002 1002 1002 1002
8227 467 467 467 467
8899 1592 1592 1592 1592
11582 5591 5591 5591 5591
8356 650 650 650 650
9160 2163 2163 2163 2163
13030 7432 7432 7432 7432
9625 2450 2450 2450 2450
10450 3620 3620 3620 3620
8601 1396 1396 1396 1396
9232 2093 2093 2093 2093
8169 385 385 385 385
8519 1359 1359 1359 1359
8120 315 315 315 315
8331 1541 1541 1541 1541
8275 749 749 749 749
9251 2494 2494 2494 2494
9177 1963 1963 1963 1963
12440 6810 6810 6810 6810
8791 1267 1267 1267 1267
13711 7421 7421 7421 7421
10969 4509 4509 4509 4509
16714 12630 12630 12630 12630
14639 9774 9774 9774 9774
8466 948 948 948 948
8169 964 964 964 964
8067 381 381 381 381
8860 1510 1510 1510 1510
8054 594 594 594 594
8191 1355 1355 1355 1355
7957 328 328 328 328
13845 8435 8435 8435 8435
8806 1434 1434 1434 1434
8549 1068 1068 1068 1068
9071 1989 1989 1989 1989
8342 630 630 630 630
8578 1105 1105 1105 1105
8134 335 335 335 335
8437 1125 1125 1125 1125
266 219 4795 2 1
8437 765 765 765 765
1412 1944 4157 63 56
10691 18195 20645 9301 9139
5984 17250 20253 4784 4727
1727 2009 2613 139 135
2435 1954 6696 1772 1722
1468 1331 6147 969 926
2692 2208 6911 2036 1982
2202 1719 6513 1647 1598
1786 1537 2395 1257 207
1896 1601 2511 1264 222
2451 2452 3210 204 199
2113 1744 2764 1541 247
1356 1126 1922 886 165
5624 5748 6826 4524 4406
2380 2012 3051 1749 270
6729 6462 8072 6167 6081
659 3180 5002 36 34
901 9980 14148 61 58
1475 3460 4805 121 114
3075 5908 7470 283 276
647 7682 8359 261 244
9859 2782 2782 2782 2782
8211 579 579 579 579
21542 19312 19312 19312 19312
9043 1300 1300 1300 1300
7957 2667 2667 2667 2667
18333 14830 14830 14830 14830
3155 26396 35872 295 208
10362 3495 3495 3495 3495
51572 57882 61813 44956 42972
