0	19.49
1	17.89
2	16.94
3	13.65
4	18.60
5	24.23
6	26.31
7	33.19
8	26.74
9	30.16
10	24.75
11	24.04
12	29.11
13	31.09
14	28.02
15	23.76
16	25.99
17	28.65
18	21.53
19	30.44
20	37.86
21	30.57
22	32.63
23	32.55
24	28.95
25	37.21
26	42.33
27	43.72
28	38.16
29	32.84
30	39.41
31	31.41
32	39.68
33	39.84
34	47.27
35	41.77
36	35.35
37	27.56
38	35.96
39	28.48
40	31.50
41	28.56
42	35.28
43	31.62
44	39.67
45	44.11
46	38.83
47	31.62
48	24.80
49	16.64
50	14.68
51	9.31
52	2.55
53	9.37
54	10.37
55	3.34
56	5.32
57	-3.04
58	2.14
59	4.30
60	12.20
61	17.36
62	16.87
63	24.91
64	21.22
65	16.89
66	22.50
67	16.88
68	25.15
69	29.02
70	29.12
71	36.55
72	39.63
73	36.06
74	44.87
75	48.19
76	42.21
77	51.12
78	50.10
79	43.59
80	41.50
81	38.85
82	46.13
83	49.62
84	49.00
85	50.58
86	43.33
87	37.05
88	38.74
89	43.97
90	38.07
91	36.09
92	39.41
93	33.83
94	35.49
95	26.94
96	22.86
97	21.15
98	18.69
99	11.46
